Exp,Modelo,Dropout,Pad,Runs,Split,EER,APCER,BPCER,BPCER@APCER10,BPCER@APCER5,BPCER@APCER1,AVRank
exp01_baseline,efficientnet_b4,0.5,8%,5,VAL,0.0830 ± 0.0164,0.0215 ± 0.0049,0.3845 ± 0.1735,0.0678 ± 0.0434,0.1788 ± 0.0926,0.5589 ± 0.1035,0.3466 ± 0.0873
exp01_baseline,efficientnet_b4,0.5,8%,5,TEST,0.0046 ± 0.0026,0.0068 ± 0.0033,0.0026 ± 0.0017,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0021 ± 0.0022,0.0010 ± 0.0011
exp01_baseline,mobilenetv3_large,0.5,8%,5,VAL,0.1455 ± 0.0103,0.0127 ± 0.0041,0.7825 ± 0.0636,0.2637 ± 0.0399,0.4813 ± 0.0329,0.8105 ± 0.0113,0.6024 ± 0.0217
exp01_baseline,mobilenetv3_large,0.5,8%,5,TEST,0.0165 ± 0.0039,0.0188 ± 0.0035,0.0141 ± 0.0050,0.0001 ± 0.0002,0.0026 ± 0.0026,0.0326 ± 0.0166,0.0171 ± 0.0090
exp01_baseline,dinov2,0.5,8%,4,VAL,0.1586 ± 0.0177,0.0099 ± 0.0056,0.8891 ± 0.0313,0.3267 ± 0.0713,0.5734 ± 0.0945,0.8917 ± 0.0459,0.6832 ± 0.0631
exp01_baseline,dinov2,0.5,8%,4,TEST,0.0085 ± 0.0015,0.0164 ± 0.0055,0.0043 ± 0.0032,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0073 ± 0.0029,0.0037 ± 0.0015
exp01_baseline,clip,0.5,8%,3,VAL,0.1398 ± 0.0160,0.0231 ± 0.0190,0.6318 ± 0.2667,0.2226 ± 0.0511,0.3895 ± 0.0346,0.7386 ± 0.0094,0.5307 ± 0.0187
exp01_baseline,clip,0.5,8%,3,TEST,0.0090 ± 0.0079,0.0019 ± 0.0014,0.0813 ± 0.1206,0.0002 ± 0.0003,0.0013 ± 0.0022,0.0183 ± 0.0268,0.0096 ± 0.0141
exp02_dropout_07,efficientnet_b4,0.7,8%,3,VAL,0.0888 ± 0.0146,0.0314 ± 0.0028,0.3148 ± 0.0854,0.0787 ± 0.0274,0.2040 ± 0.0412,0.5750 ± 0.0769,0.3645 ± 0.0557
exp02_dropout_07,efficientnet_b4,0.7,8%,3,TEST,0.0105 ± 0.0048,0.0181 ± 0.0090,0.0030 ± 0.0023,0.0000 ± 0.0000,0.0003 ± 0.0005,0.0126 ± 0.0149,0.0064 ± 0.0076
exp02_dropout_07,mobilenetv3_large,0.7,8%,3,VAL,0.1666 ± 0.0093,0.0064 ± 0.0016,0.8932 ± 0.0254,0.3153 ± 0.0482,0.5233 ± 0.0297,0.8555 ± 0.0176,0.6478 ± 0.0266
exp02_dropout_07,mobilenetv3_large,0.7,8%,3,TEST,0.0320 ± 0.0061,0.0564 ± 0.0069,0.0106 ± 0.0045,0.0019 ± 0.0021,0.0150 ± 0.0092,0.1327 ± 0.0280,0.0712 ± 0.0166
exp02_dropout_07,dinov2,0.7,8%,3,VAL,0.1238 ± 0.0047,0.0339 ± 0.0060,0.5672 ± 0.0753,0.2012 ± 0.0346,0.4452 ± 0.0453,0.8033 ± 0.0182,0.5754 ± 0.0286
exp02_dropout_07,dinov2,0.7,8%,3,TEST,0.0088 ± 0.0031,0.0094 ± 0.0053,0.0071 ± 0.0028,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0079 ± 0.0086,0.0039 ± 0.0043
exp02_dropout_07,clip,0.7,8%,3,VAL,0.1030 ± 0.0075,0.0424 ± 0.0191,0.3182 ± 0.1398,0.1085 ± 0.0246,0.2737 ± 0.0430,0.6189 ± 0.0215,0.4133 ± 0.0266
exp02_dropout_07,clip,0.7,8%,3,TEST,0.0039 ± 0.0017,0.0033 ± 0.0035,0.0139 ± 0.0156,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0008 ± 0.0010,0.0004 ± 0.0005
exp03_nopad,efficientnet_b4,0.5,0%,3,VAL,0.0652 ± 0.0039,0.0223 ± 0.0012,0.2513 ± 0.0089,0.0298 ± 0.0054,0.1130 ± 0.0150,0.4413 ± 0.0261,0.2605 ± 0.0140
exp03_nopad,efficientnet_b4,0.5,0%,3,TEST,0.0032 ± 0.0010,0.0087 ± 0.0031,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
exp03_nopad,dinov2,0.5,0%,3,VAL,0.1028 ± 0.0187,0.0097 ± 0.0009,0.7201 ± 0.0647,0.1169 ± 0.0702,0.3316 ± 0.1307,0.7161 ± 0.0734,0.4809 ± 0.0889
exp03_nopad,dinov2,0.5,0%,3,TEST,0.0051 ± 0.0035,0.0085 ± 0.0074,0.0025 ± 0.0007,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0027 ± 0.0046,0.0013 ± 0.0023
exp04_pad_15,efficientnet_b4,0.5,15%,3,VAL,0.1336 ± 0.0138,0.0334 ± 0.0069,0.4227 ± 0.0653,0.1883 ± 0.0354,0.3316 ± 0.0239,0.6554 ± 0.0124,0.4649 ± 0.0089
exp04_pad_15,efficientnet_b4,0.5,15%,3,TEST,0.0271 ± 0.0042,0.0109 ± 0.0108,0.0771 ± 0.0246,0.0024 ± 0.0014,0.0102 ± 0.0003,0.0834 ± 0.0487,0.0452 ± 0.0241
exp04_pad_15,dinov2,0.5,15%,3,VAL,0.1398 ± 0.0315,0.0471 ± 0.0244,0.5346 ± 0.2677,0.2473 ± 0.1078,0.4947 ± 0.0919,0.8375 ± 0.0743,0.6166 ± 0.0861
exp04_pad_15,dinov2,0.5,15%,3,TEST,0.0123 ± 0.0048,0.0032 ± 0.0014,0.0731 ± 0.0438,0.0002 ± 0.0003,0.0008 ± 0.0005,0.0194 ± 0.0160,0.0100 ± 0.0081
